"index","covariate_name"
1,"start_year"
2,"accumulation"
3,"ara_gam_masked_1bnd"
4,"area_nonfood"
5,"banana"
6,"bean"
7,"Bovine_grazing_production_HC"
8,"Bovine_stover_production_HC"
9,"cassava"
10,"cation_exchange_capacity"
11,"Cattle_HC"
12,"cereal"
13,"Chicken_HC"
14,"clay"
15,"cocoa"
16,"coconut"
17,"coffee"
18,"conditioned_DEM"
19,"cotton"
20,"cowpea"
21,"cropping_factor"
22,"crops_harvested_area"
23,"depth_to_bedrock"
24,"Distance_to_water"
25,"drainage_class_SG"
26,"Erosion"
27,"flow_accumulation"
28,"generation"
29,"Global_Urban_Footprint_5km_SignificantUrban"
30,"Goats_HC"
31,"groundnut"
32,"IGB_DIS_TC"
33,"irrigated_agri"
34,"Livestock_density_HC"
35,"maize"
36,"millet"
37,"nor_leaching"
38,"other_cereals"
39,"other_fibers"
40,"other_oils"
41,"other_pulses"
42,"other_root_tubers"
43,"palmoil"
44,"PET_1950_2000_max"
45,"PET_1950_2000_mean"
46,"PET_1950_2000_min"
47,"PET_1950_2000_stdev"
48,"Pigs_HC"
49,"potato"
50,"pulses"
51,"rainfall_erosivity"
52,"rice_total"
53,"sedimentation"
54,"sesame_seed"
55,"Sheep_HC"
56,"Slope_length_factor"
57,"slope"
58,"soil_depth"
59,"Soil_moisture_mean"
60,"soil_orcanic_carbon"
61,"soil_ph"
62,"sorghum"
63,"soybean"
64,"sugar_cane"
65,"Susceptibility_storing_filtering_cap"
66,"sweet_potato"
67,"temperate_fruits"
68,"tobacco"
69,"transfer"
70,"trop_fruit"
71,"TWI"
72,"vegetables"
73,"yams"
74,"geom_1_PC1"
75,"geom_1_PC2"
76,"geom_1_PC3"
77,"geom_2_PC1"
78,"geom_2_PC2"
79,"geom_2_PC3"
80,"geom_3_PC1"
81,"geom_3_PC2"
82,"geom_3_PC3"
83,"geom_4_PC1"
84,"geom_4_PC2"
85,"geom_4_PC3"
86,"Class02_Evergreen_Broadleaf_Forest"
87,"Class05_Mixed_Forest"
88,"Class06_Closed_Shrublands"
89,"Class07_Open_Shrublands"
90,"Class08_Woody_Savannas"
91,"Class09_Savannas"
92,"Class10_Grasslands"
93,"Class11_Permanent_Wetlands"
94,"Class16_Barren_Or_Sparsely_Populated"
95,"Class12_Croplands.5km.Percentage"
96,"Class14_Cropland_Natural_Vegetation_Mosaic.5km.Percentage"
97,"ITN.use.yearavg.new.adj"
98,"Global_Hybrid_Pop_v2_5km_sum_UNAdj"
99,"och_IRS"
100,"pyr_IRS"
101,"tday_1_PC1"
102,"tday_1_PC2"
103,"tday_1_PC3"
104,"tday_2_PC1"
105,"tday_2_PC2"
106,"tday_2_PC3"
107,"tday_3_PC1"
108,"tday_3_PC2"
109,"tday_3_PC3"
110,"tnight_1_PC1"
111,"tnight_1_PC2"
112,"tnight_1_PC3"
113,"tnight_2_PC1"
114,"tnight_2_PC2"
115,"tnight_2_PC3"
116,"tnight_3_PC1"
117,"tnight_3_PC2"
118,"tnight_3_PC3"
119,"tdi_1_PC1"
120,"tdi_1_PC2"
121,"tdi_1_PC3"
122,"tdi_2_PC1"
123,"tdi_2_PC2"
124,"tdi_2_PC3"
125,"tdi_3_PC1"
126,"tdi_3_PC2"
127,"tdi_3_PC3"
128,"evi_1_PC1"
129,"evi_1_PC2"
130,"evi_1_PC3"
131,"evi_2_PC1"
132,"evi_2_PC2"
133,"evi_2_PC3"
134,"evi_3_PC1"
135,"evi_3_PC2"
136,"evi_3_PC3"
137,"rain_1_PC1"
138,"rain_1_PC2"
139,"rain_1_PC3"
140,"ri_1_PC1"
141,"ri_1_PC2"
142,"ri_1_PC3"
143,"tcb_1_PC1"
144,"tcb_1_PC2"
145,"tcb_1_PC3"
146,"tcb_2_PC1"
147,"tcb_2_PC2"
148,"tcb_2_PC3"
149,"tcb_3_PC1"
150,"tcb_3_PC2"
151,"tcb_3_PC3"
152,"tcw_1_PC1"
153,"tcw_1_PC2"
154,"tcw_1_PC3"
155,"tcw_2_PC1"
156,"tcw_2_PC2"
157,"tcw_2_PC3"
158,"tcw_3_PC1"
159,"tcw_3_PC2"
160,"tcw_3_PC3"
161,"Class02_Evergreen_Broadleaf_Forest_m1"
162,"Class05_Mixed_Forest_m1"
163,"Class06_Closed_Shrublands_m1"
164,"Class07_Open_Shrublands_m1"
165,"Class08_Woody_Savannas_m1"
166,"Class09_Savannas_m1"
167,"Class10_Grasslands_m1"
168,"Class11_Permanent_Wetlands_m1"
169,"Class16_Barren_Or_Sparsely_Populated_m1"
170,"Class12_Croplands.5km.Percentage_m1"
171,"Class14_Cropland_Natural_Vegetation_Mosaic.5km.Percentage_m1"
172,"ITN.use.yearavg.new.adj_m1"
173,"Global_Hybrid_Pop_v2_5km_sum_UNAdj_m1"
174,"och_IRS_m1"
175,"pyr_IRS_m1"
176,"tday_1_PC1_m1"
177,"tday_1_PC2_m1"
178,"tday_1_PC3_m1"
179,"tday_2_PC1_m1"
180,"tday_2_PC2_m1"
181,"tday_2_PC3_m1"
182,"tday_3_PC1_m1"
183,"tday_3_PC2_m1"
184,"tday_3_PC3_m1"
185,"tnight_1_PC1_m1"
186,"tnight_1_PC2_m1"
187,"tnight_1_PC3_m1"
188,"tnight_2_PC1_m1"
189,"tnight_2_PC2_m1"
190,"tnight_2_PC3_m1"
191,"tnight_3_PC1_m1"
192,"tnight_3_PC2_m1"
193,"tnight_3_PC3_m1"
194,"tdi_1_PC1_m1"
195,"tdi_1_PC2_m1"
196,"tdi_1_PC3_m1"
197,"tdi_2_PC1_m1"
198,"tdi_2_PC2_m1"
199,"tdi_2_PC3_m1"
200,"tdi_3_PC1_m1"
201,"tdi_3_PC2_m1"
202,"tdi_3_PC3_m1"
203,"evi_1_PC1_m1"
204,"evi_1_PC2_m1"
205,"evi_1_PC3_m1"
206,"evi_2_PC1_m1"
207,"evi_2_PC2_m1"
208,"evi_2_PC3_m1"
209,"evi_3_PC1_m1"
210,"evi_3_PC2_m1"
211,"evi_3_PC3_m1"
212,"rain_1_PC1_m1"
213,"rain_1_PC2_m1"
214,"rain_1_PC3_m1"
215,"ri_1_PC1_m1"
216,"ri_1_PC2_m1"
217,"ri_1_PC3_m1"
218,"tcb_1_PC1_m1"
219,"tcb_1_PC2_m1"
220,"tcb_1_PC3_m1"
221,"tcb_2_PC1_m1"
222,"tcb_2_PC2_m1"
223,"tcb_2_PC3_m1"
224,"tcb_3_PC1_m1"
225,"tcb_3_PC2_m1"
226,"tcb_3_PC3_m1"
227,"tcw_1_PC1_m1"
228,"tcw_1_PC2_m1"
229,"tcw_1_PC3_m1"
230,"tcw_2_PC1_m1"
231,"tcw_2_PC2_m1"
232,"tcw_2_PC3_m1"
233,"tcw_3_PC1_m1"
234,"tcw_3_PC2_m1"
235,"tcw_3_PC3_m1"
236,"Class02_Evergreen_Broadleaf_Forest_m2"
237,"Class05_Mixed_Forest_m2"
238,"Class06_Closed_Shrublands_m2"
239,"Class07_Open_Shrublands_m2"
240,"Class08_Woody_Savannas_m2"
241,"Class09_Savannas_m2"
242,"Class10_Grasslands_m2"
243,"Class11_Permanent_Wetlands_m2"
244,"Class16_Barren_Or_Sparsely_Populated_m2"
245,"Class12_Croplands.5km.Percentage_m2"
246,"Class14_Cropland_Natural_Vegetation_Mosaic.5km.Percentage_m2"
247,"ITN.use.yearavg.new.adj_m2"
248,"Global_Hybrid_Pop_v2_5km_sum_UNAdj_m2"
249,"och_IRS_m2"
250,"pyr_IRS_m2"
251,"tday_1_PC1_m2"
252,"tday_1_PC2_m2"
253,"tday_1_PC3_m2"
254,"tday_2_PC1_m2"
255,"tday_2_PC2_m2"
256,"tday_2_PC3_m2"
257,"tday_3_PC1_m2"
258,"tday_3_PC2_m2"
259,"tday_3_PC3_m2"
260,"tnight_1_PC1_m2"
